event_date,product_id,product_name,product_category,unit_cost,list_price,selling_price,discount_percent,product_views,add_to_cart_events,checkout_started_events,purchases,units_sold,revenue,gross_margin,inventory_level,stockout_flag,price_increase_occurred
2024-04-18,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,237,19,8,2,2,105.98,69.54,766,False,False
2024-04-19,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,275,22,8,0,0,0.0,0.0,766,False,False
2024-04-20,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,275,22,9,0,0,0.0,0.0,766,False,False
2024-04-21,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,303,25,9,1,1,52.99,34.77,765,False,False
2024-04-22,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,236,17,6,0,0,0.0,0.0,765,False,False
2024-04-23,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,246,29,12,1,1,45.04,26.82,764,False,False
2024-04-24,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,200,17,7,1,1,52.99,34.77,763,False,False
2024-04-25,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,250,28,11,0,0,0.0,0.0,763,False,False
2024-04-26,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,288,25,9,0,0,0.0,0.0,763,False,False
2024-04-27,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,198,17,6,0,0,0.0,0.0,763,False,False
2024-04-28,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,46.37,12.5,239,28,11,2,2,92.73,56.29,761,False,False
2024-04-29,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,278,21,7,0,0,0.0,0.0,761,False,False
2024-04-30,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,234,22,9,1,1,47.69,29.47,760,False,False
2024-05-01,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,228,20,8,2,3,158.97,104.31,783,False,False
2024-05-02,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,226,17,7,0,0,0.0,0.0,783,False,False
2024-05-03,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,213,15,5,0,0,0.0,0.0,783,False,False
2024-05-04,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,210,19,7,0,0,0.0,0.0,783,False,False
2024-05-05,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,286,24,9,0,0,0.0,0.0,783,False,False
2024-05-06,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,49.02,7.5,268,24,10,2,2,98.03,61.59,781,False,False
2024-05-07,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,209,15,6,1,1,52.99,34.77,780,False,False
2024-05-08,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.92,15.0,292,32,13,2,3,137.77,83.11,777,False,False
2024-05-09,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,201,16,6,1,2,105.98,69.54,775,False,False
2024-05-10,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,297,35,13,0,0,0.0,0.0,775,False,False
2024-05-11,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,239,22,9,0,0,0.0,0.0,775,False,False
2024-05-12,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,246,18,7,1,1,52.99,34.77,774,False,False
2024-05-13,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,51.0,5.0,279,26,9,3,4,204.01,131.13,770,False,False
2024-05-14,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,218,19,7,1,1,52.99,34.77,769,False,False
2024-05-15,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,258,20,8,1,2,105.98,69.54,767,False,False
2024-05-16,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,39.74,25.0,271,38,18,1,1,39.74,21.52,766,False,False
2024-05-17,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,245,36,17,1,2,84.78,48.34,764,False,False
2024-05-18,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,191,16,6,1,1,52.99,34.77,763,False,False
2024-05-19,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,200,16,6,1,1,52.99,34.77,762,False,False
2024-05-20,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,321,41,16,2,2,90.08,53.64,760,False,False
2024-05-21,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,231,24,10,2,2,95.38,58.94,758,False,False
2024-05-22,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,267,23,8,0,0,0.0,0.0,758,False,False
2024-05-23,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,51.22,5.0,213,18,7,2,3,153.67,99.01,755,False,False
2024-05-24,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,285,39,16,1,3,127.18,72.52,752,False,False
2024-05-25,P0001,Apex Sculpt Leggings,leggings,18.22,55.99,41.99,25.0,352,50,23,1,1,41.99,23.77,751,False,True
2024-05-26,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,177,13,5,2,2,105.98,69.54,749,False,False
2024-05-27,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,191,15,6,0,0,0.0,0.0,749,False,False
2024-05-28,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,37.09,30.0,311,55,24,0,0,0.0,0.0,749,False,False
2024-05-29,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,233,20,8,1,1,52.99,34.77,748,False,False
2024-05-30,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,46.37,10.0,222,25,10,3,4,185.46,112.58,744,False,False
2024-05-31,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,216,16,7,1,1,52.99,34.77,743,False,False
2024-06-01,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,37.75,27.5,226,33,14,2,4,151.02,78.14,796,False,False
2024-06-02,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,39.74,25.0,288,39,18,2,3,119.22,64.56,793,False,False
2024-06-03,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,293,34,14,2,2,90.08,53.64,791,False,False
2024-06-04,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,271,20,7,0,0,0.0,0.0,791,False,False
2024-06-05,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,326,49,22,2,3,127.17,72.51,788,False,False
2024-06-06,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.92,12.5,270,32,14,2,3,137.77,83.11,785,False,False
2024-06-07,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,50.87,6.67,237,24,10,3,5,254.35,163.25,780,False,False
2024-06-08,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,37.09,30.0,354,58,23,1,1,37.09,18.87,779,False,False
2024-06-09,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,337,41,17,1,2,90.08,53.64,777,False,False
2024-06-10,P0001,Apex Sculpt Leggings,leggings,18.22,58.99,58.99,0.0,247,19,7,1,2,117.98,81.54,775,False,True
2024-06-11,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,259,25,10,1,2,95.38,58.94,773,False,False
2024-06-12,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,359,33,12,1,1,52.99,34.77,772,False,False
2024-06-13,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,232,18,6,0,0,0.0,0.0,772,False,False
2024-06-14,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,289,31,13,1,1,47.69,29.47,771,False,False
2024-06-15,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,207,16,7,1,1,52.99,34.77,770,False,False
2024-06-16,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,270,23,9,1,1,52.99,34.77,769,False,False
2024-06-17,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,287,21,8,1,2,105.98,69.54,767,False,False
2024-06-18,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,188,14,5,0,0,0.0,0.0,767,False,False
2024-06-19,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,50.34,5.0,291,28,11,2,2,100.68,64.24,765,False,False
2024-06-20,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,221,19,8,2,2,105.98,69.54,763,False,False
2024-06-21,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,218,26,10,1,1,45.04,26.82,762,False,False
2024-06-22,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,313,36,13,1,1,47.69,29.47,761,False,False
2024-06-23,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,51.67,2.5,339,31,12,4,4,206.66,133.78,757,False,False
2024-06-24,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,327,46,17,0,0,0.0,0.0,757,False,False
2024-06-25,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,249,26,11,3,3,143.07,88.41,754,False,False
2024-06-26,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,345,28,10,2,2,105.98,69.54,752,False,False
2024-06-27,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,264,22,8,0,0,0.0,0.0,752,False,False
2024-06-28,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,252,23,10,2,2,105.98,69.54,750,False,False
2024-06-29,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,49.46,10.0,341,34,14,2,3,148.37,93.71,747,False,False
2024-06-30,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,184,16,6,0,0,0.0,0.0,747,False,False
2024-07-01,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,227,18,7,1,1,52.99,34.77,775,False,False
2024-07-02,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,214,18,6,0,0,0.0,0.0,775,False,False
2024-07-03,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,214,19,7,2,3,158.97,104.31,772,False,False
2024-07-04,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,316,47,22,2,3,127.17,72.51,769,False,False
2024-07-05,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,51.0,5.0,405,41,16,3,4,204.01,131.13,765,False,False
2024-07-06,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,317,29,12,0,0,0.0,0.0,765,False,False
2024-07-07,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,322,38,16,1,3,143.07,88.41,762,False,False
2024-07-08,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,46.63,6.67,280,25,10,3,5,233.16,142.06,757,False,False
2024-07-09,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,304,36,14,2,2,95.38,58.94,755,False,False
2024-07-10,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,347,27,11,0,0,0.0,0.0,755,False,False
2024-07-11,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,291,21,8,2,2,105.98,69.54,753,False,False
2024-07-12,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,191,17,7,1,1,52.99,34.77,752,False,False
2024-07-13,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,48.57,8.33,265,25,10,3,3,145.72,91.06,749,False,False
2024-07-14,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,237,18,7,0,0,0.0,0.0,749,False,False
2024-07-15,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,226,16,6,1,1,52.99,34.77,748,False,False
2024-07-16,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,269,20,8,1,1,52.99,34.77,747,False,False
2024-07-17,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,208,18,6,2,2,105.98,69.54,745,False,False
2024-07-18,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,298,37,14,3,4,180.16,107.28,741,False,False
2024-07-19,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,201,25,11,2,6,270.25,160.93,735,False,False
2024-07-20,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,46.37,12.5,306,39,16,4,8,370.92,225.16,727,False,False
