customer_id,first_purchase_date,customer_region,acquisition_channel,customer_tenure_days,purchase_frequency,prior_spending,transaction_count,total_spending,average_discount_percent,price_increase_occurred,churned,last_transaction_date
C000095,2024-06-18,europe,organic_search,561,3.255,245.24,5,245.24,2.0,False,False,2025-11-27
C000096,2024-10-05,north_america,organic_search,452,3.232,188.56,4,188.56,8.75,True,False,2025-10-27
C000097,2025-11-21,asia_pacific,organic_search,40,8.0,128.88,2,128.88,7.5,False,False,2025-12-26
C000098,2025-04-26,north_america,influencer,249,4.401,273.25,3,273.25,10.0,False,False,2025-12-26
C000099,2025-02-22,uk,direct,312,5.853,215.94,5,215.94,8.0,True,False,2025-11-21
C000100,2025-02-14,europe,organic_search,320,2.283,41.78,2,41.78,5.0,False,True,2025-09-27
C000101,2025-02-17,asia_pacific,email,317,3.457,68.72,3,68.72,10.0,True,False,2025-07-09
C000102,2025-05-25,north_america,direct,220,1.66,22.39,1,22.39,30.0,False,False,2025-05-25
C000103,2025-05-11,uk,affiliate,234,4.683,402.55,3,402.55,5.0,False,False,2025-12-06
C000104,2025-07-19,north_america,paid_social,165,4.427,79.43,2,79.43,7.5,False,False,2025-11-15
C000105,2024-06-06,north_america,direct,573,3.825,493.1,6,493.1,5.83,False,False,2025-12-08
C000106,2024-09-06,north_america,paid_social,481,2.278,120.32,3,120.32,5.0,False,False,2025-01-23
C000107,2024-03-12,uk,direct,659,1.663,129.97,3,129.97,13.33,True,False,2025-04-22
C000108,2024-10-16,europe,email,441,2.485,175.26,3,175.26,11.67,False,False,2025-12-28
C000109,2025-05-10,north_america,organic_search,235,4.663,144.67,3,144.67,15.0,True,False,2025-11-19
C000110,2024-09-01,north_america,paid_social,486,5.261,372.22,7,372.22,8.57,False,False,2025-10-14
C000111,2025-11-10,europe,organic_search,51,4.0,28.89,1,28.89,15.0,False,False,2025-11-10
C000112,2025-04-12,uk,paid_social,263,1.389,29.74,1,29.74,15.0,False,True,2025-04-12
C000113,2024-12-02,asia_pacific,email,394,2.781,107.37,3,107.37,13.33,False,False,2025-05-19
C000114,2025-07-08,uk,paid_social,176,8.301,366.75,4,366.75,11.25,False,False,2025-10-23
C000115,2025-03-20,rest_of_world,direct,286,5.108,214.35,4,214.35,11.25,False,False,2025-12-28
C000116,2024-01-30,uk,direct,701,1.042,131.96,2,131.96,10.0,False,False,2025-10-01
C000117,2025-08-02,europe,paid_social,151,2.419,58.99,1,58.99,0.0,False,False,2025-08-02
C000118,2025-05-24,asia_pacific,paid_social,221,4.958,173.16,3,173.16,15.0,True,False,2025-12-16
C000119,2025-04-21,asia_pacific,direct,254,4.314,138.57,3,138.57,3.33,False,False,2025-12-18
C000120,2025-10-16,rest_of_world,direct,76,4.0,59.99,1,59.99,0.0,False,False,2025-10-16
C000121,2024-04-19,uk,organic_search,621,2.941,419.71,5,419.71,6.0,False,False,2025-12-20
C000122,2024-02-20,asia_pacific,direct,680,2.686,281.13,5,281.13,2.0,True,False,2025-06-25
C000123,2024-07-13,north_america,direct,536,4.089,457.72,6,457.72,6.67,True,False,2025-12-11
C000124,2025-10-04,europe,influencer,88,8.0,104.97,2,104.97,0.0,False,False,2025-10-30
C000125,2024-10-29,uk,influencer,428,2.56,145.97,3,145.97,6.67,False,False,2025-04-23
C000126,2025-05-28,asia_pacific,email,217,6.733,336.08,4,336.08,3.75,False,False,2025-11-16
C000127,2024-12-12,europe,influencer,384,1.902,149.97,2,149.97,0.0,False,True,2025-03-13
C000128,2025-07-24,north_america,direct,160,2.283,75.59,1,75.59,30.0,False,False,2025-07-24
C000129,2025-10-15,rest_of_world,paid_social,77,8.0,170.79,2,170.79,12.5,False,False,2025-11-25
C000130,2024-03-05,north_america,influencer,666,3.291,464.04,6,464.04,9.17,False,True,2025-01-26
C000131,2024-02-08,uk,organic_search,692,1.583,147.97,3,147.97,0.0,False,False,2024-11-04
C000132,2025-07-07,north_america,direct,177,4.127,77.17,2,77.17,10.0,False,False,2025-12-04
C000133,2025-02-21,rest_of_world,paid_social,313,2.334,102.97,2,102.97,0.0,False,False,2025-07-24
C000134,2025-01-06,uk,direct,359,8.139,433.31,8,433.31,8.12,True,False,2025-12-08
C000135,2024-07-13,rest_of_world,affiliate,536,4.77,481.55,7,481.55,7.14,False,False,2025-11-06
C000136,2024-01-22,uk,influencer,709,1.03,109.97,2,109.97,10.0,False,False,2025-11-14
C000137,2024-05-31,europe,organic_search,579,3.785,402.51,6,402.51,7.5,False,False,2025-09-28
C000138,2025-01-01,europe,paid_social,364,2.007,109.18,2,109.18,15.0,False,False,2025-04-02
C000139,2025-06-22,uk,paid_social,192,1.902,68.99,1,68.99,0.0,False,False,2025-06-22
C000140,2024-08-14,rest_of_world,paid_social,504,2.174,209.76,3,209.76,6.67,True,False,2025-07-09
C000141,2025-05-05,asia_pacific,influencer,240,3.044,125.37,2,125.37,5.0,False,False,2025-11-04
C000142,2024-05-09,uk,organic_search,601,3.039,311.64,5,311.64,6.0,True,False,2025-06-10
C000143,2025-04-09,north_america,influencer,266,8.239,348.18,6,348.18,4.17,False,False,2025-12-08
C000144,2025-07-18,europe,paid_social,166,2.2,67.18,1,67.18,20.0,False,False,2025-07-18
C000145,2025-03-01,europe,influencer,305,3.593,103.87,3,103.87,13.33,True,False,2025-07-02
C000146,2025-04-30,uk,email,245,8.945,378.56,6,378.56,12.5,False,False,2025-12-29
C000147,2025-07-29,north_america,direct,155,4.713,136.97,2,136.97,12.5,False,False,2025-09-24
C000148,2024-02-22,rest_of_world,organic_search,678,2.155,329.14,4,329.14,5.0,False,False,2025-10-11
C000149,2024-08-17,asia_pacific,influencer,501,4.374,257.47,6,257.47,9.17,False,False,2025-08-16
C000150,2025-03-15,asia_pacific,affiliate,291,3.765,107.27,3,107.27,13.33,False,False,2025-10-09
C000151,2025-11-04,europe,paid_social,57,4.0,83.99,1,83.99,0.0,False,False,2025-11-04
C000152,2024-01-07,uk,paid_social,724,4.036,783.04,8,783.04,11.25,True,False,2025-11-24
C000153,2024-04-03,europe,paid_social,637,1.147,61.98,2,61.98,0.0,False,False,2025-12-06
C000154,2025-08-04,north_america,email,149,4.903,87.98,2,87.98,10.0,False,False,2025-12-08
C000155,2024-08-08,europe,paid_social,510,1.432,126.97,2,126.97,10.0,True,False,2025-01-30
C000156,2025-11-14,uk,paid_social,47,8.0,67.73,2,67.73,12.5,False,False,2025-12-13
C000157,2025-05-24,europe,paid_social,221,3.305,58.37,2,58.37,17.5,False,False,2025-11-01
C000158,2024-12-28,uk,email,368,1.985,90.18,2,90.18,5.0,False,False,2025-08-20
C000159,2024-04-27,north_america,affiliate,613,1.192,109.98,2,109.98,0.0,True,False,2025-07-16
C000160,2024-04-18,uk,organic_search,622,2.936,298.24,5,298.24,4.0,False,False,2025-02-11
C000161,2024-12-07,europe,paid_social,389,2.817,223.35,3,223.35,3.33,True,False,2025-06-21
C000162,2024-12-25,europe,direct,371,3.938,209.3,4,209.3,7.5,False,False,2025-12-29
C000163,2025-09-08,uk,direct,114,6.408,87.56,2,87.56,15.0,False,False,2025-11-27
C000164,2025-11-28,asia_pacific,organic_search,33,4.0,70.99,1,70.99,0.0,False,False,2025-11-28
C000165,2024-06-03,north_america,influencer,576,4.439,443.71,7,443.71,6.43,False,False,2025-12-22
C000166,2024-03-16,uk,influencer,655,7.249,713.53,13,713.53,6.92,False,False,2025-11-19
C000167,2025-07-21,rest_of_world,direct,163,4.482,122.08,2,122.08,5.0,False,False,2025-11-29
C000168,2024-03-04,north_america,direct,667,2.738,373.13,5,373.13,6.0,False,False,2025-08-10
C000169,2025-03-25,north_america,organic_search,281,3.899,105.07,3,105.07,10.0,False,False,2025-12-13
C000170,2025-11-26,north_america,direct,35,4.0,54.38,1,54.38,20.0,False,False,2025-11-26
C000171,2024-10-17,uk,email,440,0.83,100.78,1,100.78,10.0,False,False,2024-10-17
C000172,2024-03-27,uk,influencer,644,5.104,642.36,9,642.36,12.78,False,False,2025-11-26
C000173,2025-06-23,uk,direct,191,7.649,228.6,4,228.6,10.0,False,False,2025-11-24
C000174,2024-12-15,rest_of_world,organic_search,381,5.752,275.43,6,275.43,8.33,False,False,2025-11-17
C000175,2024-04-13,north_america,organic_search,627,2.33,172.96,4,172.96,0.0,True,False,2025-11-09
C000176,2025-09-24,uk,influencer,98,11.181,191.72,3,191.72,8.33,True,False,2025-12-04
C000177,2025-02-24,north_america,direct,310,8.248,344.92,7,344.92,0.0,False,False,2025-12-28
C000178,2025-04-25,asia_pacific,paid_social,250,4.383,127.96,3,127.96,8.33,False,False,2025-12-06
C000179,2025-01-26,north_america,influencer,339,1.077,37.99,1,37.99,0.0,False,False,2025-01-26
C000180,2024-02-23,europe,email,677,3.777,641.47,7,641.47,11.43,True,False,2025-10-15
C000181,2024-10-18,uk,paid_social,439,1.664,90.63,2,90.63,17.5,False,False,2025-12-13
C000182,2024-08-15,europe,email,503,5.083,310.33,7,310.33,8.57,False,False,2025-10-18
C000183,2025-01-30,rest_of_world,influencer,335,7.632,447.6,7,447.6,5.71,True,False,2025-11-28
C000184,2024-10-20,asia_pacific,influencer,437,7.522,450.87,9,450.87,6.67,True,False,2025-12-24
C000185,2024-03-22,uk,paid_social,649,1.688,144.27,3,144.27,11.67,False,False,2025-04-14
C000186,2024-05-04,uk,influencer,606,6.027,485.16,10,485.16,5.5,True,True,2025-11-25
C000187,2025-09-03,north_america,organic_search,119,3.069,68.99,1,68.99,0.0,False,False,2025-09-03
C000188,2024-12-27,uk,influencer,369,2.97,257.05,3,257.05,15.0,False,False,2025-06-20
C000189,2025-06-22,north_america,direct,192,3.805,165.97,2,165.97,0.0,False,False,2025-10-17
C000190,2025-01-31,rest_of_world,paid_social,334,1.094,58.99,1,58.99,0.0,False,False,2025-01-31
C000191,2024-12-06,uk,influencer,390,2.81,245.96,3,245.96,13.33,False,False,2025-08-02
C000192,2025-05-05,north_america,direct,240,7.609,255.21,5,255.21,3.0,False,False,2025-12-25
C000193,2024-02-12,uk,influencer,688,2.654,272.04,5,272.04,9.0,False,False,2025-11-22
C000194,2025-10-24,uk,influencer,68,8.0,161.06,2,161.06,5.0,False,False,2025-12-22
C000195,2025-03-26,asia_pacific,influencer,280,7.827,280.74,6,280.74,8.33,False,False,2025-12-06
C000196,2025-06-15,uk,paid_social,199,5.506,144.22,3,144.22,16.67,False,False,2025-09-16
C000197,2024-10-27,uk,paid_social,430,5.097,255.44,6,255.44,13.33,False,False,2025-12-23
C000198,2025-03-30,north_america,paid_social,276,7.94,286.62,6,286.62,11.67,True,False,2025-12-19
C000199,2024-02-28,uk,organic_search,672,2.174,267.96,4,267.96,0.0,True,False,2025-12-25
C000200,2024-05-26,asia_pacific,direct,584,2.502,215.54,4,215.54,3.75,False,False,2025-06-17
C000201,2025-01-05,north_america,organic_search,360,5.073,189.6,5,189.6,9.0,True,False,2025-12-11
C000202,2024-03-19,north_america,organic_search,652,2.801,237.08,5,237.08,14.0,True,False,2025-12-26
C000203,2024-07-09,north_america,influencer,540,2.706,221.25,4,221.25,3.75,False,False,2025-11-15
C000204,2025-09-18,uk,email,104,7.024,207.56,2,207.56,7.5,False,True,2025-12-10
C000205,2025-03-31,rest_of_world,direct,275,2.656,91.87,2,91.87,15.0,False,False,2025-05-07
C000206,2024-11-03,asia_pacific,direct,423,5.181,427.62,6,427.62,7.5,True,True,2025-12-01
C000207,2024-05-22,uk,organic_search,588,1.864,138.97,3,138.97,0.0,False,False,2025-10-10
C000208,2024-05-12,north_america,paid_social,598,6.108,457.29,10,457.29,9.5,True,False,2025-12-06
C000209,2024-03-16,uk,influencer,655,2.788,260.95,5,260.95,2.0,True,True,2025-09-13
C000210,2025-07-18,north_america,paid_social,166,8.801,169.56,4,169.56,5.0,True,True,2025-10-27
C000211,2024-05-07,north_america,influencer,603,3.634,252.59,6,252.59,10.0,False,False,2025-09-24
C000212,2025-07-18,uk,organic_search,166,4.401,100.27,2,100.27,7.5,True,False,2025-11-07
C000213,2025-08-17,uk,organic_search,136,5.371,106.28,2,106.28,17.5,True,False,2025-11-28
C000214,2024-01-30,uk,affiliate,701,3.126,301.28,6,301.28,5.83,False,False,2025-10-26
C000215,2025-09-24,north_america,organic_search,98,3.727,56.08,1,56.08,15.0,True,False,2025-09-24
C000216,2025-02-19,uk,paid_social,315,3.479,170.56,3,170.56,13.33,True,False,2025-10-31
C000217,2025-09-13,uk,email,109,6.702,94.33,2,94.33,15.0,False,False,2025-11-29
C000218,2024-04-18,uk,influencer,622,1.762,113.72,3,113.72,10.0,False,False,2024-11-25
C000219,2025-01-28,asia_pacific,influencer,337,3.251,154.66,3,154.66,15.0,False,False,2025-09-19
C000220,2025-04-23,north_america,influencer,252,7.247,290.44,5,290.44,15.0,False,False,2025-10-31
C000221,2024-02-21,uk,organic_search,679,8.607,907.61,16,907.61,8.44,True,False,2025-12-03
C000222,2024-04-20,north_america,email,620,4.713,308.35,8,308.35,10.62,False,False,2025-11-14
C000223,2025-08-06,north_america,influencer,147,4.969,101.33,2,101.33,20.0,True,False,2025-10-31
C000224,2025-09-30,europe,paid_social,92,11.91,116.31,3,116.31,5.0,False,False,2025-11-25
C000225,2025-01-09,europe,paid_social,356,4.104,150.91,4,150.91,7.5,True,False,2025-09-24
C000226,2024-12-07,europe,organic_search,389,2.817,99.72,3,99.72,8.33,False,False,2025-11-13
C000227,2025-08-30,uk,email,123,2.97,18.69,1,18.69,15.0,False,False,2025-08-30
C000228,2025-01-12,uk,paid_social,353,3.104,219.55,3,219.55,5.0,True,False,2025-11-08
C000229,2025-10-06,uk,influencer,86,4.0,83.99,1,83.99,0.0,False,False,2025-10-06
C000230,2024-06-23,north_america,direct,556,3.942,270.52,6,270.52,12.5,True,False,2025-12-06
C000231,2025-08-09,rest_of_world,paid_social,144,2.536,26.39,1,26.39,20.0,True,False,2025-08-09
C000232,2025-02-24,north_america,organic_search,310,2.356,116.98,2,116.98,5.0,False,True,2025-03-30
C000233,2025-06-15,uk,influencer,199,9.177,469.63,5,469.63,9.0,False,False,2025-12-21
C000234,2025-06-29,north_america,influencer,185,7.897,231.14,4,231.14,8.75,False,False,2025-12-18
C000235,2025-09-16,north_america,affiliate,106,6.892,108.98,2,108.98,0.0,False,False,2025-11-28
C000236,2024-10-22,europe,direct,435,2.519,137.97,3,137.97,20.0,False,False,2025-12-31
C000237,2024-10-07,uk,organic_search,450,4.87,441.38,6,441.38,4.17,False,False,2025-11-10
C000238,2024-05-29,uk,influencer,581,3.772,466.62,6,466.62,10.0,False,False,2025-12-10
C000239,2025-05-05,uk,email,240,1.522,26.99,1,26.99,25.0,False,False,2025-05-05
C000240,2025-08-23,uk,paid_social,130,5.619,86.78,2,86.78,5.0,False,False,2025-12-29
C000241,2024-12-04,europe,paid_social,392,2.795,83.87,3,83.87,20.0,False,False,2025-12-03
C000242,2025-05-02,north_america,paid_social,243,4.509,158.75,3,158.75,11.67,False,False,2025-12-20
C000243,2024-04-01,europe,paid_social,639,6.859,746.65,12,746.65,11.67,False,False,2025-11-15
C000244,2025-03-03,asia_pacific,paid_social,303,2.411,126.96,2,126.96,0.0,True,False,2025-08-12
C000245,2024-10-23,asia_pacific,paid_social,434,4.208,296.83,5,296.83,9.0,False,False,2025-11-03
C000246,2025-10-18,north_america,organic_search,74,8.0,111.02,2,111.02,7.5,True,False,2025-12-29
C000247,2025-04-14,europe,direct,261,1.399,57.78,1,57.78,15.0,False,False,2025-04-14
C000248,2024-07-16,uk,email,533,2.741,158.81,4,158.81,12.5,False,False,2025-07-31
C000249,2024-05-23,north_america,affiliate,587,1.244,89.68,2,89.68,5.0,False,False,2024-08-18
C000250,2024-12-03,uk,direct,393,3.718,258.16,4,258.16,7.5,True,False,2025-08-30
C000251,2025-02-19,europe,affiliate,315,3.479,183.16,3,183.16,8.33,False,True,2025-12-22
C000252,2024-08-14,uk,paid_social,504,2.899,222.4,4,222.4,10.0,False,False,2025-12-03
C000253,2025-07-04,europe,email,180,6.088,302.35,3,302.35,20.0,False,False,2025-11-22
C000254,2025-06-22,north_america,direct,192,1.902,30.99,1,30.99,0.0,False,False,2025-06-22
C000255,2025-06-01,uk,organic_search,213,1.715,27.19,1,27.19,20.0,False,False,2025-06-01
C000256,2025-06-06,north_america,paid_social,208,7.024,199.96,4,199.96,0.0,True,False,2025-12-07
C000257,2025-11-19,europe,direct,42,8.0,91.78,2,91.78,10.0,False,False,2025-12-31
C000258,2024-02-16,north_america,direct,684,1.068,102.98,2,102.98,5.0,False,False,2025-10-23
C000259,2025-04-28,uk,influencer,247,10.351,306.91,7,306.91,6.43,False,False,2025-12-21
C000260,2025-03-06,north_america,email,300,4.87,398.44,4,398.44,6.25,False,False,2025-08-24
C000261,2025-11-08,asia_pacific,paid_social,53,8.0,45.48,2,45.48,15.0,False,False,2025-12-23
C000262,2024-05-10,europe,paid_social,600,1.826,204.97,3,204.97,0.0,False,False,2025-08-29
C000263,2024-08-23,uk,influencer,495,5.165,530.91,7,530.91,10.71,True,False,2025-12-31
C000264,2024-01-17,uk,paid_social,714,4.092,381.96,8,381.96,8.12,False,False,2025-11-10
C000265,2024-09-07,europe,influencer,480,2.283,112.46,3,112.46,20.0,False,False,2025-12-21
C000266,2025-05-30,rest_of_world,paid_social,215,10.193,177.94,6,177.94,6.67,False,False,2025-11-17
C000267,2024-11-24,uk,email,402,2.726,98.97,3,98.97,0.0,False,False,2025-08-18
C000268,2024-06-28,north_america,influencer,551,1.989,138.77,3,138.77,3.33,True,False,2025-02-10
C000269,2025-06-21,uk,influencer,193,1.892,48.99,1,48.99,0.0,False,False,2025-06-21
C000270,2024-08-18,uk,direct,500,5.844,489.29,8,489.29,4.38,False,False,2025-12-03
C000271,2024-09-05,uk,influencer,482,0.758,35.99,1,35.99,0.0,False,True,2024-09-05
C000272,2024-07-14,uk,influencer,535,0.683,72.09,1,72.09,30.0,True,False,2024-07-14
C000273,2025-08-24,europe,organic_search,129,5.663,171.92,2,171.92,12.5,True,True,2025-12-22
C000274,2024-01-16,uk,paid_social,715,4.598,513.76,9,513.76,10.56,True,False,2025-12-18
C000275,2025-09-10,europe,influencer,112,6.522,66.98,2,66.98,0.0,False,False,2025-12-05
