transaction_id,customer_id,transaction_date,product_id,product_name,product_category,product_price,unit_cost,list_price,selling_price,discount_amount,discount_percent,quantity,order_value,gross_margin,customer_region,acquisition_channel,customer_tenure_days,purchase_frequency,prior_spending,price_increase_occurred,churned
T00000042,C000015,2025-06-30,P0032,Tempo Woven Shorts,shorts,39.99,17.53,39.99,35.99,4.0,10.0,1,35.99,18.46,uk,paid_social,101,7.233,72.53,False,False
T00000043,C000015,2025-10-31,P0023,Apex Slim Joggers,joggers,56.99,20.57,56.99,42.74,14.25,25.0,1,42.74,22.17,uk,paid_social,224,4.892,108.52,False,False
T00000044,C000016,2025-06-03,P0007,Apex Support Sports Bra,sports_bras,31.99,14.19,31.99,28.79,3.2,10.0,1,28.79,14.6,asia_pacific,email,0,0.0,0.0,False,False
T00000045,C000017,2024-06-14,P0012,Apex Training Tee,training_tops,33.99,15.36,33.99,33.99,0.0,0.0,2,67.98,37.26,north_america,direct,0,0.0,0.0,False,False
T00000046,C000017,2024-09-27,P0014,Motion Crop Tee,training_tops,33.99,15.99,33.99,33.99,0.0,0.0,1,33.99,18.0,north_america,direct,105,3.479,67.98,False,False
T00000047,C000017,2025-06-09,P0002,Core Flex Leggings,leggings,53.99,25.2,53.99,53.99,0.0,0.0,1,53.99,28.79,north_america,direct,360,2.029,101.97,False,False
T00000048,C000017,2025-12-06,P0040,Lift Wrist Wraps,accessories,22.99,10.87,22.99,22.99,0.0,0.0,1,22.99,12.12,north_america,direct,540,2.029,155.96,True,False
T00000049,C000018,2024-03-21,P0007,Apex Support Sports Bra,sports_bras,31.99,14.19,31.99,31.99,0.0,0.0,1,31.99,17.8,uk,organic_search,0,0.0,0.0,False,False
T00000050,C000018,2024-06-24,P0007,Apex Support Sports Bra,sports_bras,31.99,14.19,31.99,31.99,0.0,0.0,2,63.98,35.6,uk,organic_search,95,3.845,31.99,False,False
T00000051,C000018,2024-10-29,P0004,Lift Training Leggings,leggings,55.99,27.07,55.99,55.99,0.0,0.0,1,55.99,28.92,uk,organic_search,222,3.291,95.97,False,False
T00000052,C000018,2024-12-09,P0002,Core Flex Leggings,leggings,53.99,25.2,53.99,48.59,5.4,10.0,1,48.59,23.39,uk,organic_search,263,4.166,151.96,False,False
T00000053,C000018,2025-03-19,P0007,Apex Support Sports Bra,sports_bras,32.99,14.19,32.99,32.99,0.0,0.0,1,32.99,18.8,uk,organic_search,363,4.025,200.55,True,False
T00000054,C000018,2025-06-30,P0016,Everyday Oversized Tee,training_tops,35.99,17.41,35.99,35.99,0.0,0.0,1,35.99,18.58,uk,organic_search,466,3.919,233.54,False,False
T00000055,C000018,2025-07-25,P0011,Contour V-Neck Sports Bra,sports_bras,39.99,17.72,39.99,39.99,0.0,0.0,1,39.99,22.27,uk,organic_search,491,4.463,269.53,False,False
T00000056,C000018,2025-08-14,P0033,Apex Training Jacket,outerwear,83.99,43.34,83.99,67.19,16.8,20.0,1,67.19,23.85,uk,organic_search,511,5.003,309.52,False,False
T00000057,C000018,2025-11-21,P0026,Lift Tapered Joggers,joggers,58.99,28.66,58.99,53.09,23.6,10.0,4,212.36,97.72,uk,organic_search,610,4.79,376.71,False,False
T00000058,C000019,2024-09-28,P0022,Tempo Fleece Hoodie,hoodies,66.99,23.89,66.99,66.99,0.0,0.0,1,66.99,43.1,north_america,organic_search,0,0.0,0.0,False,False
T00000059,C000019,2024-12-02,P0010,Lift High-Support Bra,sports_bras,34.99,13.72,34.99,34.99,0.0,0.0,1,34.99,21.27,north_america,organic_search,65,4.0,66.99,False,False
T00000060,C000019,2024-12-24,P0006,Pulse Pocket Leggings,leggings,48.99,23.2,48.99,48.99,0.0,0.0,2,97.98,51.58,north_america,organic_search,87,8.0,101.98,False,False
T00000061,C000019,2025-04-29,P0007,Apex Support Sports Bra,sports_bras,31.99,14.19,31.99,25.59,6.4,20.0,1,25.59,11.4,north_america,organic_search,213,5.144,199.96,False,False
T00000062,C000019,2025-06-03,P0022,Tempo Fleece Hoodie,hoodies,66.99,23.89,66.99,66.99,0.0,0.0,2,133.98,86.2,north_america,organic_search,248,5.891,225.55,False,False
T00000063,C000019,2025-06-24,P0015,Lift Performance Top,training_tops,32.99,16.01,32.99,32.99,0.0,0.0,1,32.99,16.98,north_america,organic_search,269,6.789,359.53,False,False
T00000064,C000019,2025-11-07,P0028,Apex Training Shorts,shorts,30.99,15.11,30.99,27.89,6.2,10.0,2,55.78,25.56,north_america,organic_search,405,5.411,392.52,False,False
T00000065,C000020,2025-11-18,P0001,Apex Sculpt Leggings,leggings,52.99,18.22,52.99,52.99,0.0,0.0,1,52.99,34.77,europe,influencer,0,0.0,0.0,False,True
T00000066,C000020,2025-12-23,P0017,Tempo Long Sleeve Top,training_tops,33.99,16.09,33.99,33.99,0.0,0.0,1,33.99,17.9,europe,influencer,35,4.0,52.99,False,True
T00000067,C000021,2025-08-25,P0004,Lift Training Leggings,leggings,55.99,27.07,55.99,41.99,14.0,25.0,1,41.99,14.92,north_america,organic_search,0,0.0,0.0,False,False
T00000068,C000022,2025-05-12,P0021,Lift Oversized Hoodie,hoodies,70.99,26.7,70.99,53.24,17.75,25.0,1,53.24,26.54,uk,paid_social,0,0.0,0.0,False,False
T00000069,C000022,2025-07-20,P0004,Lift Training Leggings,leggings,55.99,27.07,55.99,50.39,5.6,10.0,1,50.39,23.32,uk,paid_social,69,4.0,53.24,False,False
T00000070,C000022,2025-09-04,P0017,Tempo Long Sleeve Top,training_tops,35.99,16.09,35.99,32.39,3.6,10.0,1,32.39,16.3,uk,paid_social,115,6.352,103.63,True,False
T00000071,C000022,2025-09-25,P0022,Tempo Fleece Hoodie,hoodies,66.99,23.89,66.99,66.99,0.0,0.0,1,66.99,43.1,uk,paid_social,136,8.057,136.02,False,False
T00000072,C000022,2025-10-31,P0013,Core Fitted Tank,training_tops,30.99,16.06,30.99,30.99,0.0,0.0,1,30.99,14.93,uk,paid_social,172,8.494,203.01,False,False
T00000073,C000022,2025-12-11,P0041,Tempo Water Bottle,accessories,21.99,8.72,21.99,19.79,4.4,10.0,2,39.58,22.14,uk,paid_social,213,8.574,234.0,False,False
T00000074,C000023,2025-02-20,P0021,Lift Oversized Hoodie,hoodies,70.99,26.7,70.99,60.34,10.65,15.0,1,60.34,33.64,uk,paid_social,0,0.0,0.0,False,False
T00000075,C000023,2025-06-27,P0002,Core Flex Leggings,leggings,53.99,25.2,53.99,43.19,10.8,20.0,1,43.19,17.99,uk,paid_social,127,2.876,60.34,False,False
T00000076,C000023,2025-07-31,P0012,Apex Training Tee,training_tops,33.99,15.36,33.99,25.49,8.5,25.0,1,25.49,10.13,uk,paid_social,161,4.537,103.53,False,False
T00000077,C000023,2025-11-16,P0019,Core Pullover Hoodie,hoodies,68.99,27.64,68.99,68.99,0.0,0.0,1,68.99,41.35,uk,paid_social,269,4.073,129.02,False,False
T00000078,C000024,2025-11-20,P0030,Motion Bike Shorts,shorts,32.99,12.21,32.99,32.99,0.0,0.0,1,32.99,20.78,europe,organic_search,0,0.0,0.0,False,True
T00000079,C000025,2024-05-23,P0024,Core Fleece Joggers,joggers,54.99,25.98,54.99,54.99,0.0,0.0,3,164.97,87.03,north_america,paid_social,0,0.0,0.0,False,False
T00000080,C000025,2024-09-07,P0023,Apex Slim Joggers,joggers,56.99,20.57,56.99,56.99,0.0,0.0,1,56.99,36.42,north_america,paid_social,107,3.414,164.97,False,False
T00000081,C000025,2025-01-16,P0036,Lift Zip Jacket,outerwear,93.99,37.37,93.99,93.99,0.0,0.0,1,93.99,56.62,north_america,paid_social,238,3.069,221.96,False,False
T00000082,C000025,2025-03-01,P0013,Core Fitted Tank,training_tops,30.99,16.06,30.99,27.89,3.1,10.0,1,27.89,11.83,north_america,paid_social,282,3.886,315.95,False,False
T00000083,C000025,2025-08-20,P0009,Motion Longline Sports Bra,sports_bras,41.99,14.37,41.99,41.99,0.0,0.0,3,125.97,82.86,north_america,paid_social,454,3.218,343.84,False,False
T00000084,C000026,2025-07-07,P0029,Core Running Shorts,shorts,35.99,16.04,35.99,28.79,28.79,20.0,4,115.17,51.01,asia_pacific,affiliate,0,0.0,0.0,False,False
T00000085,C000026,2025-11-12,P0018,Apex Rest Day Hoodie,hoodies,59.99,29.78,59.99,50.99,18.0,15.0,2,101.98,42.42,asia_pacific,affiliate,128,2.854,115.17,False,False
T00000086,C000027,2024-03-01,P0017,Tempo Long Sleeve Top,training_tops,33.99,16.09,33.99,33.99,0.0,0.0,1,33.99,17.9,uk,paid_social,0,0.0,0.0,False,False
T00000087,C000027,2024-07-31,P0007,Apex Support Sports Bra,sports_bras,31.99,14.19,31.99,27.19,4.8,15.0,1,27.19,13.0,uk,paid_social,152,2.403,33.99,False,False
T00000088,C000027,2024-10-19,P0010,Lift High-Support Bra,sports_bras,34.99,13.72,34.99,34.99,0.0,0.0,1,34.99,21.27,uk,paid_social,232,3.149,61.18,False,False
T00000089,C000027,2024-11-08,P0028,Apex Training Shorts,shorts,30.99,15.11,30.99,23.24,7.75,25.0,1,23.24,8.13,uk,paid_social,252,4.348,96.17,False,False
T00000090,C000027,2025-01-02,P0007,Apex Support Sports Bra,sports_bras,31.99,14.19,31.99,24.0,15.99,25.0,2,47.99,19.61,uk,paid_social,307,4.759,119.41,False,False
T00000091,C000028,2025-07-23,P0006,Pulse Pocket Leggings,leggings,48.99,23.2,48.99,48.99,0.0,0.0,1,48.99,25.79,europe,organic_search,0,0.0,0.0,False,False
T00000092,C000028,2025-08-24,P0008,Core Strappy Sports Bra,sports_bras,37.99,14.0,37.99,32.29,5.7,15.0,1,32.29,18.29,europe,organic_search,32,4.0,48.99,False,False
T00000093,C000029,2024-03-03,P0019,Core Pullover Hoodie,hoodies,68.99,27.64,68.99,68.99,0.0,0.0,2,137.98,82.7,europe,paid_social,0,0.0,0.0,False,False
T00000094,C000029,2024-05-21,P0039,Motion Duffel Bag,accessories,17.99,7.29,17.99,17.99,0.0,0.0,1,17.99,10.7,europe,paid_social,79,4.0,137.98,False,False
T00000095,C000029,2024-07-03,P0022,Tempo Fleece Hoodie,hoodies,70.99,23.89,70.99,63.89,7.1,10.0,1,63.89,40.0,europe,paid_social,122,5.988,155.97,True,False
T00000096,C000029,2024-07-29,P0038,Apex Training Cap,accessories,23.99,11.97,23.99,23.99,0.0,0.0,2,47.98,24.04,europe,paid_social,148,7.404,219.86,False,False
T00000097,C000029,2024-09-01,P0016,Everyday Oversized Tee,training_tops,35.99,17.41,35.99,28.79,7.2,20.0,1,28.79,11.38,europe,paid_social,182,8.027,267.84,False,False
T00000098,C000029,2025-03-16,P0013,Core Fitted Tank,training_tops,30.99,16.06,30.99,30.99,0.0,0.0,1,30.99,14.93,europe,paid_social,378,4.831,296.63,False,False
T00000099,C000029,2025-04-25,P0002,Core Flex Leggings,leggings,53.99,25.2,53.99,43.19,10.8,20.0,1,43.19,17.99,europe,paid_social,418,5.243,327.62,False,False
T00000100,C000029,2025-05-24,P0014,Motion Crop Tee,training_tops,33.99,15.99,33.99,30.59,3.4,10.0,1,30.59,14.6,europe,paid_social,447,5.72,370.81,False,False
T00000101,C000029,2025-06-18,P0018,Apex Rest Day Hoodie,hoodies,59.99,29.78,59.99,47.99,35.99,20.0,3,143.98,54.64,europe,paid_social,472,6.191,401.4,False,False
T00000102,C000029,2025-10-07,P0010,Lift High-Support Bra,sports_bras,34.99,13.72,34.99,34.99,0.0,0.0,1,34.99,21.27,europe,paid_social,583,5.639,545.38,False,False
T00000103,C000029,2025-10-28,P0038,Apex Training Cap,accessories,23.99,11.97,23.99,19.19,9.6,20.0,2,38.38,14.44,europe,paid_social,604,6.047,580.37,False,False
T00000104,C000030,2025-06-04,P0029,Core Running Shorts,shorts,35.99,16.04,35.99,35.99,0.0,0.0,1,35.99,19.95,uk,paid_social,0,0.0,0.0,False,False
T00000105,C000030,2025-08-03,P0035,Motion Lightweight Jacket,outerwear,89.99,45.19,89.99,89.99,0.0,0.0,1,89.99,44.8,uk,paid_social,60,4.0,35.99,False,False
T00000106,C000030,2025-12-19,P0015,Lift Performance Top,training_tops,32.99,16.01,32.99,28.04,4.95,15.0,1,28.04,12.03,uk,paid_social,198,3.689,125.98,False,False
T00000107,C000031,2025-08-06,P0025,Motion Training Joggers,joggers,48.99,25.3,48.99,48.99,0.0,0.0,2,97.98,47.38,uk,organic_search,0,0.0,0.0,False,False
T00000108,C000031,2025-10-05,P0033,Apex Training Jacket,outerwear,83.99,43.34,83.99,71.39,12.6,15.0,1,71.39,28.05,uk,organic_search,60,4.0,97.98,False,False
T00000109,C000032,2024-09-24,P0038,Apex Training Cap,accessories,23.99,11.97,23.99,21.59,2.4,10.0,1,21.59,9.62,uk,direct,0,0.0,0.0,False,False
T00000110,C000032,2025-11-23,P0005,Contour High-Rise Leggings,leggings,43.99,18.32,43.99,43.99,0.0,0.0,1,43.99,25.67,uk,direct,425,0.859,21.59,False,False
T00000111,C000033,2024-11-19,P0033,Apex Training Jacket,outerwear,83.99,43.34,83.99,83.99,0.0,0.0,1,83.99,40.65,asia_pacific,affiliate,0,0.0,0.0,False,True
T00000112,C000033,2025-12-12,P0039,Motion Duffel Bag,accessories,17.99,7.29,17.99,17.99,0.0,0.0,1,17.99,10.7,asia_pacific,affiliate,388,0.941,83.99,False,True
T00000113,C000034,2024-05-15,P0039,Motion Duffel Bag,accessories,17.99,7.29,17.99,12.6,10.79,30.0,2,25.19,10.61,rest_of_world,email,0,0.0,0.0,False,False
T00000114,C000034,2024-08-02,P0008,Core Strappy Sports Bra,sports_bras,37.99,14.0,37.99,37.99,0.0,0.0,1,37.99,23.99,rest_of_world,email,79,4.0,25.19,False,False
T00000115,C000034,2024-08-30,P0033,Apex Training Jacket,outerwear,83.99,43.34,83.99,83.99,0.0,0.0,3,251.97,121.95,rest_of_world,email,107,6.827,63.18,False,False
T00000116,C000034,2024-09-23,P0040,Lift Wrist Wraps,accessories,21.99,10.87,21.99,17.59,8.8,20.0,2,35.18,13.44,rest_of_world,email,131,8.365,315.15,False,False
T00000117,C000034,2024-12-15,P0015,Lift Performance Top,training_tops,32.99,16.01,32.99,32.99,0.0,0.0,1,32.99,16.98,rest_of_world,email,214,6.827,350.33,False,False
T00000118,C000034,2025-05-21,P0038,Apex Training Cap,accessories,23.99,11.97,23.99,21.59,2.4,10.0,1,21.59,9.62,rest_of_world,email,371,4.923,383.32,False,False
T00000119,C000034,2025-08-06,P0035,Motion Lightweight Jacket,outerwear,89.99,45.19,89.99,76.49,13.5,15.0,1,76.49,31.3,rest_of_world,email,448,4.892,404.91,False,False
T00000120,C000034,2025-11-27,P0002,Core Flex Leggings,leggings,53.99,25.2,53.99,53.99,0.0,0.0,1,53.99,28.79,rest_of_world,email,561,4.557,481.4,False,False
T00000121,C000035,2024-11-05,P0022,Tempo Fleece Hoodie,hoodies,66.99,23.89,66.99,60.29,20.1,10.0,3,180.87,109.2,north_america,affiliate,0,0.0,0.0,False,False
T00000122,C000035,2024-11-30,P0036,Lift Zip Jacket,outerwear,93.99,37.37,93.99,93.99,0.0,0.0,1,93.99,56.62,north_america,affiliate,25,4.0,180.87,False,False
T00000123,C000035,2025-02-25,P0034,Core Puffer Vest,outerwear,81.99,30.49,81.99,81.99,0.0,0.0,4,327.96,206.0,north_america,affiliate,112,6.522,274.86,False,False
T00000124,C000035,2025-08-05,P0030,Motion Bike Shorts,shorts,32.99,12.21,32.99,32.99,0.0,0.0,1,32.99,20.78,north_america,affiliate,273,4.014,602.82,False,False
T00000125,C000035,2025-11-22,P0038,Apex Training Cap,accessories,23.99,11.97,23.99,23.99,0.0,0.0,2,47.98,24.04,north_america,affiliate,382,3.825,635.81,False,False
T00000126,C000036,2024-05-17,P0001,Apex Sculpt Leggings,leggings,52.99,18.22,52.99,42.39,21.2,20.0,2,84.78,48.34,uk,email,0,0.0,0.0,False,False
T00000127,C000036,2024-09-26,P0016,Everyday Oversized Tee,training_tops,35.99,17.41,35.99,32.39,7.2,10.0,2,64.78,29.96,uk,email,132,2.767,84.78,False,False
T00000128,C000036,2025-11-07,P0002,Core Flex Leggings,leggings,57.99,25.2,57.99,52.19,5.8,10.0,1,52.19,26.99,uk,email,539,1.355,149.56,True,False
T00000129,C000037,2024-12-17,P0001,Apex Sculpt Leggings,leggings,56.99,18.22,56.99,48.44,17.1,15.0,2,96.88,60.44,uk,organic_search,0,0.0,0.0,True,False
T00000130,C000037,2025-02-16,P0037,Core Crew Socks,accessories,21.99,7.77,21.99,21.99,0.0,0.0,1,21.99,14.22,uk,organic_search,61,4.0,96.88,False,False
T00000131,C000038,2024-04-04,P0018,Apex Rest Day Hoodie,hoodies,59.99,29.78,59.99,59.99,0.0,0.0,1,59.99,30.21,north_america,email,0,0.0,0.0,False,True
T00000132,C000038,2025-02-25,P0002,Core Flex Leggings,leggings,53.99,25.2,53.99,53.99,0.0,0.0,2,107.98,57.58,north_america,email,327,1.117,59.99,False,True
T00000133,C000038,2025-04-28,P0015,Lift Performance Top,training_tops,32.99,16.01,32.99,24.74,8.25,25.0,1,24.74,8.73,north_america,email,389,1.878,167.97,False,True
T00000134,C000038,2025-12-17,P0015,Lift Performance Top,training_tops,32.99,16.01,32.99,29.69,3.3,10.0,1,29.69,13.68,north_america,email,622,1.762,192.71,False,True
T00000135,C000039,2024-06-14,P0001,Apex Sculpt Leggings,leggings,52.99,18.22,52.99,47.69,5.3,10.0,1,47.69,29.47,europe,organic_search,0,0.0,0.0,False,False
T00000136,C000039,2024-09-09,P0019,Core Pullover Hoodie,hoodies,68.99,27.64,68.99,68.99,0.0,0.0,1,68.99,41.35,europe,organic_search,87,4.0,47.69,False,False
T00000137,C000039,2024-12-04,P0016,Everyday Oversized Tee,training_tops,35.99,17.41,35.99,30.59,5.4,15.0,1,30.59,13.18,europe,organic_search,173,4.223,116.68,False,False
T00000138,C000039,2025-07-30,P0016,Everyday Oversized Tee,training_tops,35.99,17.41,35.99,32.39,7.2,10.0,2,64.78,29.96,europe,organic_search,411,2.666,147.27,False,False
T00000139,C000040,2024-06-01,P0009,Motion Longline Sports Bra,sports_bras,41.99,14.37,41.99,37.79,4.2,10.0,1,37.79,23.42,north_america,email,0,0.0,0.0,False,False
T00000140,C000040,2024-09-26,P0041,Tempo Water Bottle,accessories,21.99,8.72,21.99,21.99,0.0,0.0,2,43.98,26.54,north_america,email,117,3.122,37.79,False,False
T00000141,C000040,2024-11-24,P0016,Everyday Oversized Tee,training_tops,35.99,17.41,35.99,35.99,0.0,0.0,1,35.99,18.58,north_america,email,176,4.151,81.77,False,False
T00000142,C000040,2025-09-25,P0019,Core Pullover Hoodie,hoodies,68.99,27.64,68.99,68.99,0.0,0.0,1,68.99,41.35,north_america,email,481,2.278,117.76,False,False
T00000143,C000040,2025-11-13,P0005,Contour High-Rise Leggings,leggings,43.99,18.32,43.99,35.19,8.8,20.0,1,35.19,16.87,north_america,email,530,2.757,186.75,False,False
T00000144,C000041,2024-02-10,P0009,Motion Longline Sports Bra,sports_bras,41.99,14.37,41.99,41.99,0.0,0.0,2,83.98,55.24,asia_pacific,paid_social,0,0.0,0.0,False,False
T00000145,C000041,2024-03-06,P0041,Tempo Water Bottle,accessories,21.99,8.72,21.99,21.99,0.0,0.0,1,21.99,13.27,asia_pacific,paid_social,25,4.0,83.98,False,False
T00000146,C000041,2024-12-24,P0012,Apex Training Tee,training_tops,33.99,15.36,33.99,25.49,8.5,25.0,1,25.49,10.13,asia_pacific,paid_social,318,2.297,105.97,False,False
T00000147,C000041,2025-09-18,P0007,Apex Support Sports Bra,sports_bras,31.99,14.19,31.99,27.19,4.8,15.0,1,27.19,13.0,asia_pacific,paid_social,586,1.87,131.46,False,False
T00000148,C000041,2025-12-19,P0009,Motion Longline Sports Bra,sports_bras,41.99,14.37,41.99,35.69,18.9,15.0,3,107.07,63.96,asia_pacific,paid_social,678,2.155,158.65,False,False
